drug_name_original,drug_name_cleaned,pubchem_cid,mapping_status
VX-11e,VX-11e,11634725.0,tier1_precomputed
Veliparib,Veliparib,11960529.0,tier1_precomputed
Venetoclax,Venetoclax,49846579.0,tier1_precomputed
Vinblastine,Vinblastine,13342.0,tier1_precomputed
Vinorelbine,Vinorelbine,5311497.0,tier1_precomputed
Vismodegib,Vismodegib,24776445.0,tier1_precomputed
Vorinostat,Vorinostat,5311.0,tier1_precomputed
WEHI-539,WEHI-539,71297207.0,tier1_precomputed
WIKI4,WIKI4,2984337.0,tier1_precomputed
WZ4003,WZ4003,72200024.0,tier1_precomputed
Wee1 Inhibitor,Wee1 Inhibitor,10384072.0,tier1_precomputed
Wnt-C59,Wnt-C59,57519544.0,tier1_precomputed
XAV939,XAV939,135418940.0,tier1_precomputed
YK-4-279,YK-4-279,44632017.0,tier1_precomputed
ZM447439,ZM447439,9914412.0,tier1_precomputed
Zoledronate,Zoledronate,68740.0,tier1_precomputed
alpha-lipoic acid,alpha-lipoic acid,864.0,tier1_precomputed
ascorbate (vitamin C),ascorbate,54679076.0,tier1_precomputed
glutathione,glutathione,124886.0,tier1_precomputed
