gene,stability_score
TRPS1,0.125
CYB5R2,0.125
CDKN2C,0.125
ALDOC,0.125
RARRES2,0.125
LRP1,0.125
PITX1,0.125
ATF7IP2,0.125
HR,0.125
MYO1G,0.125
MPDZ,0.125
STXBP2,0.125
CYTIP,0.125
PDGFA,0.125
CMTM3,0.125
CBLC,0.125
EPB41L1,0.125
APOD,0.125
MAN1A1,0.125
TMSB15B,0.125
PLEKHO1,0.125
TSPOAP1,0.125
UGT8,0.125
SAMD11,0.125
TMPRSS3,0.125
RHOV,0.125
MLF1,0.125
EVI2A,0.125
PRDX2,0.125
CPNE7,0.125
ASCL1,0.125
SERPINF1,0.125
ARHGAP15,0.125
LRRC61,0.125
ATOH8,0.125
PRKAR2B,0.125
RNF128,0.125
SPRY1,0.125
SMARCA1,0.125
EFEMP1,0.125
ACTA2,0.125
SAMSN1,0.125
GDA,0.125
MEF2C,0.125
TRIB2,0.125
PAGE5,0.125
CGREF1,0.125
SSH3,0.125
PDGFRB,0.125
SLC7A7,0.125
HLA-C,0.125
MICAL2,0.125
FGFR2,0.125
ARHGAP4,0.125
KRT16,0.125
SPART,0.125
TGFB2,0.125
SERPINA3,0.125
GNAI1,0.125
SLC7A11,0.125
SEMA3C,0.125
EFHD1,0.125
GALNT5,0.125
FGFR1,0.125
RGL3,0.125
VGLL3,0.125
PROSER2,0.125
ME3,0.125
FN1,0.125
PHLDB1,0.125
RAI14,0.125
NBL1,0.125
S100A8,0.125
HBE1,0.125
ABI3BP,0.125
SYT1,0.125
ARHGEF35,0.125
SEMA3F,0.125
S100A6,0.125
FXYD5,0.125
TCEA3,0.125
MYEF2,0.125
C3,0.125
CFH,0.125
CSAG3,0.125
NRP2,0.125
FEZ1,0.125
PLAAT3,0.125
PTPRZ1,0.125
TCF4,0.125
BIRC3,0.125
CTSZ,0.125
ADGRL2,0.125
APOC1,0.125
PPARG,0.125
TCEAL8,0.125
APP,0.125
TCIM,0.125
CD52,0.125
SPANXB1,0.125
WIPF1,0.125
YBX2,0.125
TMEM176A,0.125
DUSP4,0.125
IFIT2,0.125
LDLRAD4,0.125
PRSS16,0.125
TP53I11,0.125
BACE2,0.125
CTSB,0.125
IL7R,0.125
ANO1,0.125
DSG3,0.125
ALPP,0.125
ACSL5,0.125
F2R,0.125
SGK1,0.125
SLC1A3,0.125
TNFRSF1B,0.125
ROBO1,0.125
NCF2,0.125
PCSK9,0.125
IGF2,0.125
TOX,0.125
FHL1,0.125
LAT,0.125
PRAME,0.125
KRT81,0.125
VSIR,0.125
RTL8A,0.125
MICA,0.125
MTAP,0.125
PPP2R2C,0.125
GDF15,0.125
RASSF8,0.125
VEGFC,0.125
PTPRF,0.125
RNF207,0.125
LAD1,0.125
FOS,0.125
SESN3,0.125
PIMREG,0.125
C6orf141,0.125
CALB2,0.125
PAX6,0.125
PXDN,0.125
CPA4,0.125
TRIM29,0.125
CNTN1,0.125
COL12A1,0.125
SPDEF,0.125
KLHL13,0.125
TOX2,0.125
DNAJC15,0.125
SFN,0.125
CD9,0.125
TCIRG1,0.125
SEMA7A,0.125
PCOLCE,0.125
CYP4F11,0.125
GCNT3,0.125
NQO1,0.125
ATP1A3,0.125
LAMA4,0.125
RIN2,0.125
B4GALNT4,0.125
MANSC1,0.125
HLA-DRB5,0.125
COL4A1,0.125
AMIGO2,0.125
KCNS3,0.125
SLC16A3,0.125
ATP9A,0.125
MLPH,0.125
BIK,0.125
C14orf132,0.125
SQOR,0.125
IER3,0.125
SPP1,0.125
TCEAL9,0.125
LEF1,0.125
CAP2,0.125
LCP1,0.125
NOS3,0.125
SPOCK1,0.125
CCND1,0.1
CD37,0.1
HBB,0.1
ACKR3,0.1
GSTM3,0.1
ABLIM1,0.1
GOLT1A,0.1
F3,0.1
CKMT1A,0.1
SLC16A4,0.1
ADAM8,0.1
FAT1,0.1
PDLIM3,0.1
P2RX5,0.1
SDC1,0.1
APOL1,0.1
S100A1,0.1
BCAR3,0.1
TSPAN6,0.1
DDAH1,0.1
NCEH1,0.1
FGF5,0.1
TENM2,0.1
DNAJC22,0.1
BCL11A,0.1
RIPK4,0.1
LRP3,0.1
DSP,0.1
NRN1,0.1
SNURF,0.1
KHDRBS3,0.1
KCNQ2,0.1
TRIM22,0.1
PPFIBP2,0.1
WWC2,0.1
KRT14,0.1
IL6,0.1
FAP,0.1
DDX3Y,0.1
MAGEA2,0.1
RAC2,0.1
ATP8B1,0.1
PRSS12,0.1
CXADR,0.1
IFI27,0.1
NSG1,0.1
PRSS22,0.1
EGFR,0.1
KYNU,0.1
CD44,0.1
S100A4,0.1
TUBB4A,0.1
ANPEP,0.1
DSG2,0.1
PERP,0.1
SCG2,0.1
RUBCNL,0.1
GALNT6,0.1
RNF130,0.1
ZFP36L1,0.1
MFAP2,0.1
IL1RN,0.1
UBE2L6,0.1
RNF157,0.1
S100A11,0.1
CDH1,0.1
SMPDL3B,0.1
HPGD,0.1
ENC1,0.1
HLA-DQA1,0.1
FLRT2,0.1
LAMA1,0.1
THBS1,0.1
SPTSSB,0.1
HES4,0.1
KIF5C,0.1
MAGED4B,0.1
